cluster_id,timestamp,temperature_ambiante_c,temperature_sol_c,humidite_ambiante,humidite_sol,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_01,2024-01-15 00:00:00,13.2,6.6,79.2,59.6,134.4,31.0,204.2,6.81
cluster_02,2024-01-15 00:00:00,12.3,7.1,79.7,66.0,136.0,30.7,198.9,6.83
cluster_03,2024-01-15 00:00:00,12.0,6.4,82.0,66.1,136.3,29.7,203.7,6.83
cluster_04,2024-01-15 00:00:00,12.7,6.5,75.4,67.1,136.0,30.0,199.4,6.89
cluster_05,2024-01-15 00:00:00,11.5,6.6,85.1,62.8,135.1,29.5,200.6,6.84
cluster_06,2024-01-15 00:00:00,11.5,7.4,80.5,63.7,134.9,30.7,196.2,6.85
cluster_07,2024-01-15 00:00:00,13.1,7.2,83.3,64.6,132.8,30.2,196.0,6.61
cluster_08,2024-01-15 00:00:00,13.1,7.3,75.6,63.3,135.7,31.2,199.3,6.79
cluster_09,2024-01-15 00:00:00,12.6,7.5,80.8,63.8,133.5,29.7,199.6,6.98
cluster_10,2024-01-15 00:00:00,13.0,6.7,81.8,62.2,136.3,30.1,198.7,7.1
cluster_01,2024-01-15 00:30:00,12.3,7.6,81.8,60.5,136.4,31.1,203.4,6.69
cluster_02,2024-01-15 00:30:00,11.4,8.1,82.3,66.8,138.0,30.9,198.1,6.71
cluster_03,2024-01-15 00:30:00,11.2,7.4,84.6,66.9,138.3,29.9,202.9,6.7
cluster_04,2024-01-15 00:30:00,11.8,7.5,78.0,68.0,137.9,30.1,198.6,6.77
cluster_05,2024-01-15 00:30:00,10.6,7.6,87.7,63.7,137.0,29.6,199.8,6.72
cluster_06,2024-01-15 00:30:00,10.6,8.4,83.1,64.6,136.8,30.8,195.3,6.73
cluster_07,2024-01-15 00:30:00,12.2,8.2,85.8,65.5,134.8,30.3,195.2,6.49
cluster_08,2024-01-15 00:30:00,12.2,8.3,78.2,64.2,137.7,31.3,198.4,6.67
cluster_09,2024-01-15 00:30:00,11.7,8.5,83.3,64.6,135.5,29.8,198.7,6.86
cluster_10,2024-01-15 00:30:00,12.1,7.7,84.4,63.1,138.2,30.2,197.8,6.98
cluster_01,2024-01-15 01:00:00,13.7,10.2,81.8,57.2,135.5,30.9,206.9,6.64
