cluster_id,timestamp,x,y,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_01,2025-12-10 00:00:00,8.0,32.2,11.9,7.4,86.0,56.7,132.1,29.6,197.4,6.81
cluster_02,2025-12-10 00:00:00,33.7,26.6,12.0,7.3,83.2,59.5,135.0,30.3,200.8,6.83
cluster_03,2025-12-10 00:00:00,44.5,19.5,11.9,7.3,80.8,59.9,135.5,30.3,203.0,6.75
cluster_04,2025-12-10 00:00:00,62.9,30.9,11.6,7.0,81.3,62.6,137.5,31.1,199.6,6.81
cluster_05,2025-12-10 00:00:00,91.6,28.3,10.8,6.4,87.3,68.6,143.3,31.7,201.3,6.89
cluster_06,2025-12-10 00:00:00,2.3,82.5,14.3,8.8,84.9,50.1,120.9,26.8,194.9,6.73
cluster_07,2025-12-10 00:00:00,35.3,70.4,12.3,7.6,83.9,57.9,129.8,28.8,198.0,6.77
cluster_08,2025-12-10 00:00:00,44.9,69.9,12.7,7.4,87.0,56.5,131.9,30.1,198.1,6.78
cluster_09,2025-12-10 00:00:00,66.9,75.4,12.6,7.8,79.1,58.3,133.7,30.5,198.3,6.83
cluster_10,2025-12-10 00:00:00,88.9,71.7,11.7,7.2,83.3,62.1,136.5,30.2,201.6,6.87
cluster_01,2025-12-10 00:30:00,8.0,32.2,12.7,9.8,92.5,57.6,132.0,29.9,193.5,6.83
cluster_02,2025-12-10 00:30:00,33.7,26.6,12.4,9.8,83.2,60.6,135.2,30.3,201.5,6.79
cluster_03,2025-12-10 00:30:00,44.5,19.5,12.4,9.8,88.3,61.9,136.3,29.7,198.1,6.85
cluster_04,2025-12-10 00:30:00,62.9,30.9,11.9,9.5,86.6,61.8,138.4,30.0,200.8,6.8
cluster_05,2025-12-10 00:30:00,91.6,28.3,10.9,8.8,83.4,67.8,142.4,32.0,205.5,6.86
cluster_06,2025-12-10 00:30:00,2.3,82.5,14.1,11.6,82.7,49.6,118.8,26.0,190.0,6.69
cluster_07,2025-12-10 00:30:00,35.3,70.4,13.3,10.4,84.1,56.5,131.8,29.4,198.2,6.76
cluster_08,2025-12-10 00:30:00,44.9,69.9,12.4,10.0,82.5,58.4,132.3,29.5,198.5,6.76
cluster_09,2025-12-10 00:30:00,66.9,75.4,13.2,10.5,82.3,57.0,133.1,29.8,200.3,6.81
cluster_10,2025-12-10 00:30:00,88.9,71.7,12.2,9.8,83.5,61.9,135.3,29.0,201.1,6.87
cluster_01,2025-12-10 01:00:00,8.0,32.2,12.2,12.7,85.5,58.2,132.7,29.7,195.1,6.82
cluster_02,2025-12-10 01:00:00,33.7,26.6,12.3,12.5,83.9,61.3,135.9,30.2,200.8,6.8
cluster_03,2025-12-10 01:00:00,44.5,19.5,12.1,12.3,83.7,59.9,134.2,29.9,202.1,6.78
cluster_04,2025-12-10 01:00:00,62.9,30.9,11.6,12.1,83.1,61.8,136.5,30.7,204.3,6.83
cluster_05,2025-12-10 01:00:00,91.6,28.3,10.4,11.2,83.0,68.1,144.0,31.0,199.9,6.8
cluster_06,2025-12-10 01:00:00,2.3,82.5,15.6,14.4,82.8,50.0,119.6,27.2,193.7,6.71
cluster_07,2025-12-10 01:00:00,35.3,70.4,12.6,13.0,82.1,57.5,130.2,30.0,198.4,6.83
cluster_08,2025-12-10 01:00:00,44.9,69.9,12.1,12.4,86.4,58.0,132.0,29.4,196.4,6.81
cluster_09,2025-12-10 01:00:00,66.9,75.4,13.1,13.2,82.8,58.4,133.3,30.0,197.2,6.8
cluster_10,2025-12-10 01:00:00,88.9,71.7,12.0,12.4,85.7,61.0,135.0,29.6,200.2,6.8
cluster_01,2025-12-10 01:30:00,8.0,32.2,12.3,13.1,85.7,58.2,131.1,29.6,199.8,6.8
cluster_02,2025-12-10 01:30:00,33.7,26.6,12.1,12.8,84.2,60.8,134.9,30.0,203.2,6.82
cluster_03,2025-12-10 01:30:00,44.5,19.5,12.4,12.8,84.1,62.5,137.2,29.6,201.8,6.81
cluster_04,2025-12-10 01:30:00,62.9,30.9,12.4,12.4,84.9,63.0,136.4,30.3,202.5,6.86
cluster_05,2025-12-10 01:30:00,91.6,28.3,11.8,11.6,78.0,68.8,143.0,30.8,203.5,6.84
cluster_06,2025-12-10 01:30:00,2.3,82.5,14.0,14.7,85.2,50.4,122.2,26.8,194.6,6.76
cluster_07,2025-12-10 01:30:00,35.3,70.4,13.6,13.4,84.2,58.3,130.3,28.7,193.9,6.7
cluster_08,2025-12-10 01:30:00,44.9,69.9,12.6,12.9,82.2,57.8,132.7,29.8,198.0,6.77
cluster_09,2025-12-10 01:30:00,66.9,75.4,13.6,13.6,84.1,60.5,134.9,30.4,204.2,6.76
cluster_10,2025-12-10 01:30:00,88.9,71.7,12.9,12.8,85.6,60.0,135.5,30.2,198.9,6.85
cluster_01,2025-12-10 02:00:00,8.0,32.2,14.2,13.5,84.2,57.7,131.3,29.3,199.9,6.79
cluster_02,2025-12-10 02:00:00,33.7,26.6,13.7,13.2,84.1,60.5,135.1,30.3,199.9,6.81
cluster_03,2025-12-10 02:00:00,44.5,19.5,12.7,13.0,82.2,61.6,134.7,30.8,200.4,6.8
cluster_04,2025-12-10 02:00:00,62.9,30.9,13.0,12.8,82.4,63.5,138.2,30.3,201.1,6.94
cluster_05,2025-12-10 02:00:00,91.6,28.3,12.0,11.8,84.7,66.8,143.7,32.4,208.3,6.9
cluster_06,2025-12-10 02:00:00,2.3,82.5,14.1,14.9,82.8,51.8,119.8,26.7,194.6,6.65
cluster_07,2025-12-10 02:00:00,35.3,70.4,13.0,13.5,87.2,55.6,132.4,28.2,197.0,6.8
cluster_08,2025-12-10 02:00:00,44.9,69.9,12.4,13.4,83.0,58.9,133.8,29.7,202.4,6.73
cluster_09,2025-12-10 02:00:00,66.9,75.4,13.7,14.1,82.9,59.0,134.9,29.4,201.1,6.77
cluster_10,2025-12-10 02:00:00,88.9,71.7,13.1,13.1,83.4,61.6,135.0,30.1,201.0,6.8
cluster_01,2025-12-10 02:30:00,8.0,32.2,14.0,14.0,82.2,58.8,130.6,28.5,199.2,6.78
cluster_02,2025-12-10 02:30:00,33.7,26.6,13.6,13.7,79.3,61.3,134.4,30.3,201.2,6.69
cluster_03,2025-12-10 02:30:00,44.5,19.5,14.2,13.7,80.0,62.1,137.8,29.2,201.3,6.78
cluster_04,2025-12-10 02:30:00,62.9,30.9,13.4,13.4,77.8,62.0,137.5,30.3,200.6,6.87
cluster_05,2025-12-10 02:30:00,91.6,28.3,12.8,12.6,83.9,67.3,140.8,31.3,200.9,6.91
cluster_06,2025-12-10 02:30:00,2.3,82.5,15.4,15.0,80.8,48.4,121.9,26.9,190.6,6.65
cluster_07,2025-12-10 02:30:00,35.3,70.4,14.4,14.1,82.4,56.3,128.7,28.0,194.6,6.69
cluster_08,2025-12-10 02:30:00,44.9,69.9,15.0,14.0,79.8,59.6,131.8,30.0,200.0,6.93
cluster_09,2025-12-10 02:30:00,66.9,75.4,14.5,14.5,80.5,59.2,133.8,30.3,198.9,6.8
cluster_10,2025-12-10 02:30:00,88.9,71.7,13.8,13.6,84.7,60.1,135.4,30.0,203.9,6.81
cluster_01,2025-12-10 03:00:00,8.0,32.2,14.8,14.8,78.5,57.0,131.1,29.5,196.4,6.74
cluster_02,2025-12-10 03:00:00,33.7,26.6,14.3,14.4,82.1,57.6,135.0,29.8,197.7,6.79
cluster_03,2025-12-10 03:00:00,44.5,19.5,13.7,14.5,78.0,60.8,136.0,30.8,202.7,6.82
cluster_04,2025-12-10 03:00:00,62.9,30.9,13.5,14.2,79.5,61.9,135.6,30.0,201.2,6.88
cluster_05,2025-12-10 03:00:00,91.6,28.3,12.2,13.1,78.0,68.5,143.4,32.2,200.0,6.88
cluster_06,2025-12-10 03:00:00,2.3,82.5,15.5,15.7,80.9,50.4,121.0,28.0,191.5,6.61
cluster_07,2025-12-10 03:00:00,35.3,70.4,14.0,14.8,77.4,56.7,130.9,29.0,200.1,6.73
cluster_08,2025-12-10 03:00:00,44.9,69.9,15.1,14.7,79.5,58.3,133.6,30.2,193.8,6.76
cluster_09,2025-12-10 03:00:00,66.9,75.4,15.5,14.9,80.4,60.0,132.2,29.8,197.7,6.92
cluster_10,2025-12-10 03:00:00,88.9,71.7,13.9,14.3,82.4,60.3,134.7,30.3,202.2,6.79
cluster_01,2025-12-10 03:30:00,8.0,32.2,14.8,15.4,78.7,57.9,132.0,29.4,198.2,6.77
cluster_02,2025-12-10 03:30:00,33.7,26.6,14.7,15.0,76.6,60.9,134.4,29.7,199.1,6.76
cluster_03,2025-12-10 03:30:00,44.5,19.5,15.7,15.1,77.8,62.9,136.1,31.0,202.4,6.81
cluster_04,2025-12-10 03:30:00,62.9,30.9,14.9,15.0,81.6,62.7,136.6,30.4,200.0,6.8
cluster_05,2025-12-10 03:30:00,91.6,28.3,14.1,13.8,76.7,70.1,142.3,31.5,201.0,6.94
cluster_06,2025-12-10 03:30:00,2.3,82.5,16.3,16.6,78.1,51.0,118.9,28.3,194.8,6.68
cluster_07,2025-12-10 03:30:00,35.3,70.4,15.6,15.6,79.4,58.3,131.8,28.7,197.5,6.71
cluster_08,2025-12-10 03:30:00,44.9,69.9,15.0,15.6,79.0,58.6,131.8,29.7,201.2,6.68
cluster_09,2025-12-10 03:30:00,66.9,75.4,15.4,15.6,75.1,61.1,134.1,30.2,199.0,6.81
cluster_10,2025-12-10 03:30:00,88.9,71.7,14.6,15.1,78.1,60.0,136.4,30.1,201.3,6.8
cluster_01,2025-12-10 04:00:00,8.0,32.2,16.2,16.2,73.5,58.2,132.3,29.5,198.3,6.7
cluster_02,2025-12-10 04:00:00,33.7,26.6,15.8,15.8,75.0,59.6,135.4,30.0,201.3,6.81
cluster_03,2025-12-10 04:00:00,44.5,19.5,16.0,15.9,72.0,62.6,135.6,30.1,198.4,6.8
cluster_04,2025-12-10 04:00:00,62.9,30.9,16.4,15.9,76.0,60.9,137.5,30.4,196.9,6.77
cluster_05,2025-12-10 04:00:00,91.6,28.3,14.2,14.6,73.5,67.8,144.6,31.5,205.8,6.9
cluster_06,2025-12-10 04:00:00,2.3,82.5,17.4,17.4,77.9,50.5,121.3,27.3,191.3,6.77
cluster_07,2025-12-10 04:00:00,35.3,70.4,16.9,16.4,74.4,56.1,129.8,29.1,197.2,6.81
