cluster_id,timestamp,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_01,2025-12-10 00:00:00,10.81,7.83,85.67,57.1,131.19,29.46,197.88,6.81
cluster_02,2025-12-10 00:00:00,12.84,7.53,82.66,60.12,135.35,30.42,200.38,6.83
cluster_03,2025-12-10 00:00:00,12.56,7.48,81.87,59.65,135.32,30.22,202.82,6.76
cluster_04,2025-12-10 00:00:00,11.48,6.64,79.97,62.51,136.95,31.16,199.62,6.81
cluster_05,2025-12-10 00:00:00,10.51,5.92,87.91,68.72,,31.73,201.28,6.9
cluster_06,2025-12-10 00:00:00,14.63,,423.02,50.35,120.13,26.85,194.66,6.75
cluster_07,2025-12-10 00:00:00,12.55,6.71,83.67,58.35,129.89,28.87,198.18,6.77
cluster_08,2025-12-10 00:00:00,13.5,8.14,86.03,56.83,132.97,30.08,198.15,6.78
cluster_09,2025-12-10 00:00:00,12.95,7.86,79.65,58.0,133.93,30.79,197.77,6.83
cluster_10,2025-12-10 00:00:00,12.77,7.87,81.19,62.33,137.05,30.11,,6.87
cluster_01,2025-12-10 00:30:00,13.4,9.47,93.09,56.58,131.81,29.8,193.45,6.82
cluster_02,2025-12-10 00:30:00,2.31,9.82,83.48,61.1,135.23,30.3,201.72,6.79
cluster_03,2025-12-10 00:30:00,13.03,9.98,86.55,62.15,137.08,29.72,198.0,6.86
cluster_04,2025-12-10 00:30:00,,-9.38,86.67,61.92,138.43,30.1,200.7,6.8
cluster_05,2025-12-10 00:30:00,11.6,9.46,82.69,67.61,143.08,32.04,205.17,6.86
cluster_06,2025-12-10 00:30:00,13.75,11.31,84.31,49.42,119.09,26.02,189.42,6.7
cluster_07,2025-12-10 00:30:00,13.63,10.67,81.84,56.94,131.27,29.18,198.54,6.76
cluster_08,2025-12-10 00:30:00,12.89,,83.03,58.06,131.72,29.66,197.96,6.75
cluster_09,2025-12-10 00:30:00,13.12,10.96,83.66,56.89,133.74,29.86,200.33,6.81
cluster_10,2025-12-10 00:30:00,2.57,10.31,84.54,-61.75,135.13,29.14,1003.59,6.87
cluster_01,2025-12-10 01:00:00,10.94,11.11,84.37,59.27,132.35,29.57,195.08,6.82
cluster_02,2025-12-10 01:00:00,12.0,12.8,84.58,61.75,136.53,29.96,200.7,6.82
cluster_03,2025-12-10 01:00:00,12.43,13.06,85.25,60.02,134.7,29.85,201.94,6.78
cluster_04,2025-12-10 01:00:00,11.83,12.19,82.42,61.55,137.0,30.71,204.42,6.83
cluster_05,2025-12-10 01:00:00,10.44,11.09,84.9,67.58,144.1,31.07,200.48,6.8
cluster_06,2025-12-10 01:00:00,15.49,14.27,83.69,-50.13,120.08,27.14,193.61,6.71
cluster_07,2025-12-10 01:00:00,13.09,12.61,80.8,57.25,130.3,30.01,198.39,
cluster_08,2025-12-10 01:00:00,2.43,12.93,84.82,58.62,132.0,29.63,195.97,6.82
cluster_09,2025-12-10 01:00:00,13.95,13.01,83.31,58.21,133.81,29.96,197.32,6.81
cluster_10,2025-12-10 01:00:00,12.13,12.27,85.49,60.46,134.36,29.57,200.45,6.8
cluster_01,2025-12-10 01:30:00,12.31,13.14,84.32,57.96,131.4,29.63,199.33,6.8
cluster_02,2025-12-10 01:30:00,10.53,12.8,81.37,60.62,134.86,30.02,203.62,
cluster_03,2025-12-10 01:30:00,12.2,13.04,85.49,61.87,138.11,-29.55,201.82,6.81
cluster_04,2025-12-10 01:30:00,11.2,13.12,85.44,62.79,685.82,30.47,202.7,6.87
cluster_05,2025-12-10 01:30:00,11.56,11.81,78.54,68.33,142.49,30.8,203.67,6.84
cluster_06,2025-12-10 01:30:00,13.85,14.76,86.63,49.85,121.6,26.79,194.53,6.76
cluster_07,2025-12-10 01:30:00,13.21,13.49,83.03,58.63,130.35,28.57,193.44,
cluster_08,2025-12-10 01:30:00,13.75,13.41,82.75,57.67,131.82,29.7,198.69,6.79
cluster_09,2025-12-10 01:30:00,14.04,13.86,85.67,60.17,134.81,30.12,204.3,6.76
cluster_10,2025-12-10 01:30:00,12.58,12.49,85.82,60.3,135.45,30.16,198.88,6.85
cluster_01,2025-12-10 02:00:00,13.31,12.93,82.31,58.57,130.99,29.22,200.37,6.8
cluster_02,2025-12-10 02:00:00,14.62,13.25,83.18,12.22,134.82,30.16,199.95,6.81
cluster_03,2025-12-10 02:00:00,11.84,13.48,77.71,61.52,134.68,30.69,200.83,6.79
cluster_04,2025-12-10 02:00:00,11.57,13.21,83.9,63.84,136.89,30.34,200.87,6.94
cluster_05,2025-12-10 02:00:00,11.47,12.45,84.07,66.48,144.14,32.48,208.46,6.9
cluster_06,2025-12-10 02:00:00,14.37,15.33,84.09,51.73,119.59,26.7,194.48,6.65
cluster_07,2025-12-10 02:00:00,12.74,2.93,85.63,55.9,132.36,28.13,196.61,6.8
cluster_08,2025-12-10 02:00:00,12.69,13.89,85.3,59.15,133.67,29.62,,6.74
cluster_09,2025-12-10 02:00:00,13.73,15.13,82.86,58.74,134.02,29.31,201.53,6.78
cluster_10,2025-12-10 02:00:00,13.08,14.05,83.91,62.5,135.08,30.03,200.94,6.8
cluster_01,2025-12-10 02:30:00,13.9,13.97,82.64,58.57,130.5,28.64,199.34,
cluster_02,2025-12-10 02:30:00,14.44,13.18,78.69,60.52,134.67,30.1,200.97,6.69
cluster_03,2025-12-10 02:30:00,13.79,13.59,82.79,62.39,138.7,29.09,201.75,6.77
cluster_04,2025-12-10 02:30:00,13.16,14.06,78.32,62.28,137.52,30.33,200.24,6.88
cluster_05,2025-12-10 02:30:00,12.26,13.03,85.07,66.98,141.54,31.38,201.14,6.91
cluster_06,2025-12-10 02:30:00,15.68,14.65,81.23,48.85,122.2,26.74,190.75,6.65
cluster_07,2025-12-10 02:30:00,14.72,14.42,81.61,56.2,129.02,28.03,194.65,6.7
cluster_08,2025-12-10 02:30:00,14.43,12.48,79.05,59.42,131.49,29.74,199.96,6.94
cluster_09,2025-12-10 02:30:00,14.19,14.41,81.34,59.46,,30.32,199.33,6.79
cluster_10,2025-12-10 02:30:00,13.75,13.82,81.81,60.04,134.88,30.05,1017.2,6.8
cluster_01,2025-12-10 03:00:00,15.04,14.78,78.47,56.65,131.41,29.64,196.53,
cluster_02,2025-12-10 03:00:00,14.81,13.71,82.65,58.36,135.09,29.86,197.46,6.79
cluster_03,2025-12-10 03:00:00,14.85,14.89,78.72,61.26,135.82,30.87,202.78,6.81
cluster_04,2025-12-10 03:00:00,13.26,13.25,79.74,62.96,-135.81,29.97,200.78,6.89
cluster_05,2025-12-10 03:00:00,12.19,12.99,79.95,68.27,142.74,32.06,199.91,
cluster_06,2025-12-10 03:00:00,15.93,15.38,79.44,51.27,120.4,28.01,190.78,6.61
cluster_07,2025-12-10 03:00:00,13.04,14.27,76.95,57.86,131.19,28.88,200.45,6.73
cluster_08,2025-12-10 03:00:00,15.14,14.19,79.24,57.57,133.89,30.25,193.7,6.76
cluster_09,2025-12-10 03:00:00,14.98,14.69,81.33,60.33,131.76,29.96,197.39,6.93
cluster_10,2025-12-10 03:00:00,13.13,14.86,81.17,60.23,134.4,,,6.78
cluster_01,2025-12-10 03:30:00,14.93,15.44,81.69,57.52,132.06,29.29,198.53,6.77
cluster_02,2025-12-10 03:30:00,14.17,15.2,77.41,60.9,134.43,29.58,199.59,6.77
cluster_03,2025-12-10 03:30:00,15.66,15.22,77.5,63.52,,,202.87,6.8
cluster_04,2025-12-10 03:30:00,14.25,14.67,81.25,62.5,136.52,30.3,199.99,6.8
cluster_05,2025-12-10 03:30:00,14.12,13.78,15.16,69.38,143.02,31.48,200.83,6.94
cluster_06,2025-12-10 03:30:00,15.94,16.19,78.56,50.98,119.12,28.38,194.66,6.68
cluster_07,2025-12-10 03:30:00,,15.75,79.99,,132.01,28.67,197.46,6.71
cluster_08,2025-12-10 03:30:00,15.02,14.91,78.88,58.65,130.56,29.88,200.78,6.68
cluster_09,2025-12-10 03:30:00,16.34,15.08,76.97,61.11,134.33,30.17,198.9,
cluster_10,2025-12-10 03:30:00,14.97,15.12,78.2,60.5,137.11,29.98,201.38,6.8
cluster_01,2025-12-10 04:00:00,15.22,15.93,75.72,,131.87,29.51,198.05,6.71
cluster_02,2025-12-10 04:00:00,15.79,15.33,73.95,59.46,134.65,29.87,200.66,6.81
cluster_03,2025-12-10 04:00:00,15.88,-16.63,71.53,,135.69,30.19,,6.8
cluster_04,2025-12-10 04:00:00,15.72,16.42,76.9,60.98,137.69,30.31,196.88,6.78
cluster_05,2025-12-10 04:00:00,13.85,14.72,74.7,68.01,144.44,31.65,205.52,6.91
cluster_06,2025-12-10 04:00:00,17.98,91.76,77.06,50.74,121.07,27.24,191.31,6.77
cluster_07,2025-12-10 04:00:00,16.51,15.87,75.11,56.09,128.85,29.1,,6.82
cluster_08,2025-12-10 04:00:00,15.92,16.35,73.96,57.88,132.35,29.64,201.39,6.73
cluster_09,2025-12-10 04:00:00,15.39,,76.81,60.34,134.43,29.97,198.24,6.75
cluster_10,2025-12-10 04:00:00,16.8,15.57,74.28,61.28,136.61,30.11,202.55,6.88
cluster_01,2025-12-10 04:30:00,16.62,17.2,-70.47,58.8,131.37,28.76,196.56,6.79
cluster_02,2025-12-10 04:30:00,,18.26,69.71,59.59,134.53,,202.06,6.94
cluster_03,2025-12-10 04:30:00,16.04,16.47,73.32,61.93,135.2,28.96,202.13,6.77
cluster_04,2025-12-10 04:30:00,16.51,17.58,69.9,61.89,137.88,30.35,204.72,6.82
cluster_05,2025-12-10 04:30:00,15.01,15.59,73.53,67.9,143.71,31.91,205.99,6.84
cluster_06,2025-12-10 04:30:00,18.26,18.92,70.54,51.15,121.75,26.86,192.67,6.69
cluster_07,2025-12-10 04:30:00,17.81,16.83,78.69,55.59,130.97,29.16,199.48,6.77
cluster_08,2025-12-10 04:30:00,17.64,,69.25,57.99,133.29,29.5,197.92,6.72
cluster_09,2025-12-10 04:30:00,17.81,16.9,72.84,58.79,133.88,30.42,202.96,6.75
cluster_10,2025-12-10 04:30:00,17.59,17.3,68.17,62.11,135.28,29.54,199.82,6.82
cluster_01,2025-12-10 05:00:00,18.08,18.48,65.08,59.16,132.16,28.85,201.57,6.72
cluster_02,2025-12-10 05:00:00,17.47,,65.88,60.89,134.98,29.4,199.13,6.82
cluster_03,2025-12-10 05:00:00,18.47,17.17,68.87,60.16,138.1,30.26,199.76,-6.83
cluster_04,2025-12-10 05:00:00,17.79,18.42,72.53,63.21,,30.52,200.87,6.82
cluster_05,2025-12-10 05:00:00,16.01,16.15,68.22,68.32,143.47,31.45,203.78,6.88
cluster_06,2025-12-10 05:00:00,18.44,20.03,68.54,51.08,119.98,26.66,980.27,6.63
cluster_07,2025-12-10 05:00:00,17.86,18.17,70.86,56.56,,28.18,198.44,6.78
cluster_08,2025-12-10 05:00:00,17.11,18.41,71.56,56.94,133.86,29.66,200.53,6.82
